has_spf,has_dkim,has_dmarc,domain_matches,auth_warn,has_suspect_subject,subject_is_uppercase,send_date_is_RFC2822_compliant,send_date_tz_is_valid,has_received_date,uppercase_body,script,images,https_only,mailto,links,bad_words_percentage,html,form,polarity,subjectivity,attachments,attach_is_executable,is_spam
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.2285714285714286,0.4857142857142857,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,True,0.0,True,False,0.20000000000000004,0.4166666666666667,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.05,0.225,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.23285714285714285,0.4237037037037037,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.3666666666666667,0.4912280701754386,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.2391025641025641,0.4064102564102564,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.09654607297464439,0.6052280457637601,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.1817099567099567,0.447041847041847,False,False,1
False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,0.0,False,False,0.22010489510489512,0.39906759906759903,False,False,1
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,0.0,False,False,0.47142857142857136,0.48214285714285715,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,False,False,0.07812499999999999,0.51875,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.24166666666666667,0.42777777777777776,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,-0.13385416666666666,0.5125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,True,False,0.12275641025641024,0.4996794871794871,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.14285714285714285,0.31785714285714284,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,0.0,True,False,0.39880952380952384,0.399047619047619,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,-0.07249999999999998,0.3025,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0769423877274487,0.4482578397212544,False,False,1
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0,False,False,0.23304473304473305,0.45008116883116883,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,-0.05,0.2625,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.05,0.225,False,False,1
